City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
barrow,71.2906,-156.7887,-9.4,70,40,6.91,US,1616211738
east london,-33.0153,27.9116,70.92,89,94,5.59,ZA,1616211739
dunedin,-45.8742,170.5036,64.99,58,39,5.01,NZ,1616211740
sitka,57.0531,-135.33,32.0,74,75,4.61,US,1616211740
port alfred,-33.5906,26.891,69.69,93,95,14.12,ZA,1616211741
hobart,-42.8794,147.3294,73.99,43,20,11.5,AU,1616211619
bredasdorp,-34.5322,20.0403,62.6,94,98,4.61,ZA,1616211743
rikitea,-23.1203,-134.9692,80.44,78,88,7.9,PF,1616211744
ilulissat,69.2167,-51.1,19.4,45,40,14.97,GL,1616211744
pochutla,15.7432,-96.4661,79.0,71,0,3.11,MX,1616211745
phalaborwa,-23.943,31.1411,69.8,100,15,4.61,ZA,1616211746
kondagaon,19.6,81.6667,87.4,31,12,3.87,IN,1616211669
batemans bay,-35.7167,150.1833,70.0,90,100,5.01,AU,1616211747
butaritari,3.0707,172.7902,82.4,76,3,16.87,KI,1616211748
port elizabeth,-33.918,25.5701,68.0,83,90,4.61,ZA,1616211749
saint-augustin,51.226,-58.6502,5.49,82,99,13.33,CA,1616211750
lavrentiya,65.5833,-171.0,-9.51,90,25,8.14,RU,1616211750
debre tabor,11.85,38.0167,53.64,41,1,5.1,ET,1616211751
salalah,17.0151,54.0924,71.6,37,0,1.14,OM,1616211752
flinders,-34.5833,150.8552,71.01,94,100,3.0,AU,1616211753
northam,51.0333,-4.2167,45.0,90,57,2.28,GB,1616211753
guerrero negro,27.9769,-114.0611,59.72,77,0,11.18,MX,1616211754
dingle,10.9995,122.6711,88.54,62,50,10.69,PH,1616211755
narsaq,60.9167,-46.05,32.0,86,90,9.22,GL,1616211755
kodiak,57.79,-152.4072,33.8,37,90,6.29,US,1616211703
tasiilaq,65.6145,-37.6368,23.0,68,75,2.3,GL,1616211757
puerto ayora,-0.7393,-90.3518,78.01,94,93,1.01,EC,1616211758
luena,-11.7833,19.9167,63.55,97,100,3.51,AO,1616211759
avarua,-21.2078,-159.775,82.4,74,40,9.22,CK,1616211759
albany,42.6001,-73.9662,30.99,52,0,3.0,US,1616211760
ushuaia,-54.8,-68.3,41.0,75,90,26.46,AR,1616211600
cidreira,-30.1811,-50.2056,73.62,78,32,20.27,BR,1616211761
tekkali,18.6167,84.2333,90.07,29,64,4.9,IN,1616211762
busselton,-33.65,115.3333,91.0,26,89,4.0,AU,1616211763
indian head,38.6001,-77.1622,41.0,28,1,3.44,US,1616211764
atuona,-9.8,-139.0333,80.2,73,99,11.65,PF,1616211765
airai,-8.9266,125.4092,73.63,70,33,3.65,TL,1616211765
puerto baquerizo moreno,-0.9,-89.6,79.03,80,93,7.43,EC,1616211766
rocha,-34.4833,-54.3333,62.73,81,98,8.37,UY,1616211767
luderitz,-26.6481,15.1594,63.32,78,44,22.59,NA,1616211768
san isidro,-12.1167,-77.05,73.0,83,0,8.05,PE,1616211768
thompson,55.7435,-97.8558,41.0,60,75,8.05,CA,1616211769
husavik,66.0449,-17.3389,39.2,48,90,9.22,IS,1616211770
cape town,-33.9258,18.4232,66.0,77,20,21.85,ZA,1616211716
lebu,-37.6167,-73.65,53.58,85,69,10.89,CL,1616211771
pevek,69.7008,170.3133,-13.05,87,100,1.32,RU,1616211772
trani,41.2727,16.4154,43.0,93,40,4.61,IT,1616211772
moyeuvre-grande,49.2517,6.0475,28.99,91,11,6.11,FR,1616211774
upernavik,72.7868,-56.1549,8.92,66,100,7.25,GL,1616211774
terrace bay,48.7834,-87.1,35.6,64,0,6.91,CA,1616211776
baglung,28.2719,83.5898,80.73,16,63,3.6,NP,1616211777
port keats,-14.25,129.55,87.22,66,60,7.14,AU,1616211778
kapaa,22.0752,-159.319,71.6,73,75,21.85,US,1616211778
katsuura,35.1333,140.3,60.8,63,75,6.91,JP,1616211779
dikson,73.5069,80.5464,-24.18,89,99,14.76,RU,1616211780
severo-kurilsk,50.6789,156.125,27.36,85,100,21.88,RU,1616211781
arraial do cabo,-22.9661,-42.0278,76.35,89,0,17.07,BR,1616211782
kieta,-6.2167,155.6333,85.32,69,99,2.91,PG,1616211783
leningradskiy,69.3833,178.4167,-13.18,88,100,3.53,RU,1616211784
debre birhan,9.6833,39.5333,45.88,60,3,5.99,ET,1616211784
tuktoyaktuk,69.4541,-133.0374,-18.4,83,20,9.22,CA,1616211785
kaitangata,-46.2817,169.8464,60.01,83,100,7.0,NZ,1616211786
charters towers,-20.1,146.2667,88.18,33,98,11.7,AU,1616211787
liberal,37.0431,-100.921,44.6,65,1,11.5,US,1616211788
teya,60.3778,92.6267,27.01,88,100,10.96,RU,1616211789
faya,18.3851,42.4509,55.4,71,0,2.17,SA,1616211790
honningsvag,70.9821,25.9704,32.58,87,100,30.69,NO,1616211791
brae,60.3964,-1.353,44.6,93,90,19.57,GB,1616211791
hermanus,-34.4187,19.2345,63.0,89,100,11.03,ZA,1616211790
portland,45.5234,-122.6762,46.99,78,84,4.0,US,1616211793
half moon bay,37.4636,-122.4286,51.01,100,90,3.44,US,1616211793
new norfolk,-42.7826,147.0587,75.0,41,59,1.01,AU,1616211794
punta arenas,-53.15,-70.9167,41.0,87,20,28.77,CL,1616211739
el tocuyo,9.7873,-69.7937,69.8,89,80,2.44,VE,1616211795
mataura,-46.1927,168.8643,59.0,86,100,7.0,NZ,1616211797
banff,51.1762,-115.5698,37.4,64,15,3.44,CA,1616211797
faanui,-16.4833,-151.75,83.07,67,3,7.4,PF,1616211798
iqaluit,63.7506,-68.5145,-20.0,63,20,19.57,CA,1616211799
lorengau,-2.0226,147.2712,86.11,66,85,4.72,PG,1616211799
hithadhoo,-0.6,73.0833,82.74,72,100,10.27,MV,1616211800
kavieng,-2.5744,150.7967,85.96,67,44,7.23,PG,1616211801
riyadh,24.6877,46.7219,68.0,28,0,4.61,SA,1616211727
ribeira grande,38.5167,-28.7,60.3,88,100,20.22,PT,1616211802
karpogory,64.0019,44.4451,-2.02,96,13,2.86,RU,1616211803
hamilton,39.1834,-84.5333,37.99,67,0,7.85,US,1616211634
natal,-5.795,-35.2094,80.6,78,75,8.05,BR,1616211804
la victoria,10.2184,-67.3302,82.4,78,75,4.61,VE,1616211805
praia da vitoria,38.7333,-27.0667,59.0,88,40,8.08,PT,1616211805
san quintin,30.4833,-115.95,60.42,79,0,14.2,MX,1616211806
didwana,27.4,74.5667,84.0,16,0,2.33,IN,1616211807
yakeshi,49.2833,120.7333,26.19,90,100,6.15,CN,1616211808
bluff,-46.6,168.3333,59.0,86,96,7.0,NZ,1616211808
fernandina beach,30.6697,-81.4626,57.99,88,90,21.85,US,1616211809
surman,32.7567,12.5716,61.21,62,22,8.84,LY,1616211810
montepuez,-13.1256,38.9997,68.41,98,78,1.57,MZ,1616211811
tiksi,71.6872,128.8694,-21.03,91,100,10.89,RU,1616211812
santa isabel do rio negro,-0.4139,-65.0192,73.49,96,46,0.56,BR,1616211812
qandala,11.472,49.8728,78.62,46,0,5.03,SO,1616211813
hobyo,5.3505,48.5268,81.34,74,44,15.93,SO,1616211814
provideniya,64.3833,-173.3,-4.11,90,100,17.85,RU,1616211815
codrington,-38.2667,141.9667,78.84,46,15,12.91,AU,1616211815
xai-xai,-25.0519,33.6442,71.44,93,0,3.49,MZ,1616211816
hasaki,35.7333,140.8333,63.0,63,75,6.91,JP,1616211817
yumen,40.2833,97.2,32.54,22,41,12.41,CN,1616211817
strezhevoy,60.7333,77.5889,26.6,59,0,8.95,RU,1616211818
sao joao da barra,-21.6403,-41.0511,75.72,90,0,10.49,BR,1616211819
klang,3.0333,101.45,91.99,62,20,4.61,MY,1616211747
stadthagen,52.3233,9.2031,28.0,86,21,1.14,DE,1616211820
tokur,53.1333,132.9,23.18,70,61,3.22,RU,1616211821
souillac,-20.5167,57.5167,78.8,78,75,9.22,MU,1616211822
caravelas,-17.7125,-39.2481,75.15,88,77,3.62,BR,1616211823
carnarvon,-24.8667,113.6333,91.4,49,0,14.97,AU,1616211824
zachepylivka,49.1939,35.2394,31.68,95,100,4.18,UA,1616211824
mar del plata,-38.0023,-57.5575,64.0,67,99,10.0,AR,1616211693
norman wells,65.282,-126.8329,-0.4,65,90,13.8,CA,1616211826
lata,40.1629,-8.3327,52.0,69,0,11.99,PT,1616211827
vaini,-21.2,-175.2,86.0,74,75,6.91,TO,1616211827
vestmannaeyjar,63.4427,-20.2734,38.71,76,100,25.21,IS,1616211829
solnechnyy,50.7214,136.6319,30.36,78,86,6.78,RU,1616211829
kontagora,10.3999,5.4695,76.78,57,80,3.62,NG,1616211830
nikolskoye,59.7035,30.7861,14.0,79,0,4.47,RU,1616211831
khatanga,71.9667,102.5,-25.33,95,100,7.74,RU,1616211832
san patricio,28.017,-97.5169,55.4,62,20,4.61,US,1616211832
hashtrud,37.4779,47.0508,34.41,81,0,8.39,IR,1616211833
gumrak,48.7826,44.3824,32.0,80,75,8.95,RU,1616211834
muros,42.7762,-9.0603,46.99,68,1,14.32,ES,1616211835
neuquen,-38.9516,-68.0591,64.4,45,0,2.3,AR,1616211622
kungurtug,50.5994,97.5228,19.15,66,13,1.54,RU,1616211837
bambous virieux,-20.3428,57.7575,78.8,78,75,9.22,MU,1616211837
iberia,29.9502,-91.7507,52.0,66,90,13.8,US,1616211670
maniitsoq,65.4167,-52.9,22.14,66,100,13.56,GL,1616211839
paamiut,61.994,-49.6678,30.6,84,82,28.68,GL,1616211840
macau,22.2006,113.5461,80.6,78,20,5.75,MO,1616211841
torbay,47.6666,-52.7314,41.0,100,90,10.36,CA,1616211841
la rioja,42.25,-2.5,39.2,75,75,8.05,ES,1616211842
inverness,57.4791,-4.224,42.01,93,20,8.05,GB,1616211843
bethel,41.3712,-73.414,35.6,32,1,5.75,US,1616211843
hualmay,-11.0964,-77.6139,70.63,76,100,7.92,PE,1616211844
marawi,7.9986,124.2928,82.99,81,98,7.0,PH,1616211845
atasu,48.6814,71.6433,30.4,90,100,11.88,KZ,1616211846
tacoronte,28.4769,-16.4102,61.0,82,90,17.27,ES,1616211846
lyuban,52.7985,28.0048,27.37,95,100,3.49,BY,1616211847
prudentopolis,-25.2131,-50.9778,63.59,99,83,2.48,BR,1616211848
ambulu,-8.345,113.6058,81.45,80,100,5.73,ID,1616211848
sambava,-14.2667,50.1667,77.63,83,40,8.41,MG,1616211748
lompoc,34.6391,-120.4579,55.4,88,90,7.11,US,1616211674
jamestown,42.097,-79.2353,26.6,50,1,2.08,US,1616211850
kapoeta,4.7717,33.5903,73.71,79,100,8.19,SS,1616211851
namatanai,-3.6667,152.4333,84.92,68,97,5.44,PG,1616211852
ucluelet,48.9329,-125.5528,42.01,89,100,10.54,CA,1616211616
svetlogorsk,52.6333,29.7333,26.19,82,5,3.44,BY,1616211853
port macquarie,-31.4333,152.9167,75.2,83,75,17.27,AU,1616211854
masuguru,-11.3667,38.4167,72.1,96,33,0.56,TZ,1616211855
buraydah,26.326,43.975,60.8,41,0,4.61,SA,1616211855
ponta do sol,32.6667,-17.1,57.2,67,40,5.75,PT,1616211856
chokurdakh,70.6333,147.9167,-9.27,92,97,8.68,RU,1616211857
rio gallegos,-51.6226,-69.2181,48.2,53,0,32.21,AR,1616211858
tieli,46.95,128.05,35.69,65,100,11.99,CN,1616211858
vasto,42.1243,14.7059,39.99,64,100,1.99,IT,1616211859
kahului,20.8947,-156.47,75.2,60,40,21.85,US,1616211660
kirov,58.5966,49.6601,16.21,94,99,9.19,RU,1616211860
kavaratti,10.5669,72.642,83.43,67,8,8.25,IN,1616211861
acapulco,16.8634,-99.8901,78.8,83,1,5.75,MX,1616211632
qaanaaq,77.484,-69.3632,-5.51,98,100,4.61,GL,1616211863
sandnessjoen,66.0217,12.6316,41.0,100,90,6.91,NO,1616211863
mengcheng,33.2579,116.5655,52.32,68,83,9.04,CN,1616211865
harrison,30.4091,-89.0436,55.4,67,90,5.75,US,1616211866
flin flon,54.7682,-101.865,36.91,92,100,8.21,CA,1616211867
veshenskaya,49.6303,41.7334,30.43,88,100,4.72,RU,1616211867
nanortalik,60.1432,-45.2371,33.48,98,100,14.12,GL,1616211869
esperance,-33.8667,121.9,84.2,32,0,11.5,AU,1616211870
rovaniemi,66.5,25.7167,21.2,93,90,12.66,FI,1616211871
palafrugell,41.9174,3.1631,46.0,56,0,13.8,ES,1616211872
porto novo,6.4965,2.6036,82.4,83,40,6.91,BJ,1616211872
clyde river,70.4692,-68.5914,-16.6,76,1,5.75,CA,1616211873
qaqortoq,60.7167,-46.0333,32.0,86,90,9.22,GL,1616211874
highland,34.1283,-117.2086,64.4,55,1,9.22,US,1616211874
bengkulu,-3.8004,102.2655,85.73,62,95,4.0,ID,1616211875
allende,25.2833,-100.0167,64.99,29,1,4.61,MX,1616211876
anandpur sahib,31.25,76.5,64.4,55,0,2.86,IN,1616211877
kaifeng,34.7911,114.3483,55.4,54,99,13.42,CN,1616211877
asyut,27.181,31.1837,65.08,28,6,7.58,EG,1616211737
price,39.5994,-110.8107,51.8,35,75,6.91,US,1616211879
el rosario,24.2556,-107.1828,66.2,63,1,3.44,MX,1616211880
tocopilla,-22.092,-70.1979,66.38,77,35,4.83,CL,1616211880
fatehpur,25.9333,80.8,87.6,28,0,8.99,IN,1616211881
amahai,-3.3333,128.9167,88.03,64,68,5.66,ID,1616211882
atar,20.5169,-13.0499,67.28,23,0,13.87,MR,1616211882
porbandar,21.6422,69.6093,80.62,56,0,8.3,IN,1616211883
grand-bourg,15.8835,-61.3148,73.4,88,0,3.44,GP,1616211884
korla,41.7597,86.1469,42.12,56,18,8.43,CN,1616211885
solton,52.8429,86.4787,27.68,75,36,4.99,RU,1616211885
geraldton,-28.7667,114.6,100.4,35,0,16.11,AU,1616211886
koulikoro,14.0,-7.75,76.82,17,75,3.58,ML,1616211887
gorodishche,48.8045,44.4744,32.0,80,75,8.95,RU,1616211888
orumiyeh,37.5527,45.0761,30.2,64,0,2.3,IR,1616211888
yellowknife,62.456,-114.3525,15.01,85,90,14.97,CA,1616211848
inirida,3.8653,-67.9239,76.44,79,85,1.63,CO,1616211889
belaya gora,68.5333,146.4167,-1.79,80,99,6.58,RU,1616211890
bathurst,-33.4166,149.5806,72.0,70,95,4.0,AU,1616211891
victoria,22.2855,114.1577,80.6,65,20,8.05,HK,1616211892
naifaru,5.4444,73.3657,82.31,72,42,7.96,MV,1616211892
arcata,40.8665,-124.0828,46.99,87,75,6.91,US,1616211893
skoczow,49.8009,18.7877,26.01,100,97,7.83,PL,1616211894
bathsheba,13.2167,-59.5167,77.0,61,40,12.66,BB,1616211894
ahipara,-35.1667,173.1667,65.57,64,60,9.06,NZ,1616211895
loa janan,-0.583,117.095,86.04,73,98,1.88,ID,1616211896
zanzibar,-6.1639,39.1979,78.8,89,20,0.56,TZ,1616211897
droitwich,52.2667,-2.15,46.99,94,100,2.28,GB,1616211898
amapa,1.0,-52.0,70.84,99,100,2.06,BR,1616211899
saint george,37.1041,-113.5841,64.99,34,1,6.22,US,1616211900
vila franca do campo,37.7167,-25.4333,55.4,82,20,5.75,PT,1616211900
krosno odrzanskie,52.0549,15.0988,21.99,44,16,5.08,PL,1616211901
dalianwan,39.0286,121.695,39.2,87,75,8.95,CN,1616211858
susangerd,31.5608,48.1831,59.0,47,0,4.61,IR,1616211902
nedjo,9.5046,35.5019,61.68,77,43,2.62,ET,1616211903
georgetown,5.4112,100.3354,87.8,51,20,5.75,MY,1616211904
sinnamary,5.3833,-52.95,75.87,83,53,6.42,GF,1616211905
mahebourg,-20.4081,57.7,78.8,78,75,9.22,MU,1616211905
pacific grove,36.6177,-121.9166,53.6,71,40,5.75,US,1616211822
puerto escondido,15.85,-97.0667,80.6,74,1,3.44,MX,1616211907
hami,42.8,93.45,40.28,17,0,9.04,CN,1616211907
cortez,37.3489,-108.5859,42.8,49,1,5.75,US,1616211908
surt,31.2089,16.5887,62.4,75,0,9.86,LY,1616211624
san giuseppe jato,37.9734,13.1881,50.0,93,90,3.44,IT,1616211909
deputatskiy,69.3,139.9,1.67,91,100,1.66,RU,1616211910
